Subj,StimType,ConvDiv,Mfov,MonoReg,BinoReg,NumFade,TimePt,PropFade
S1,oval,conv,30,4.5,25.5,1500,1500,1
S1,oval,conv,30,9,21,1500,1500,1
S1,oval,conv,40,4.5,35.5,1500,1500,1
S1,oval,conv,40,9,31,1500,1500,1
S1,oval,div,30,9,21,1500,1500,1
S1,oval,div,30,4.5,25.5,1500,1500,1
S1,oval,div,40,9,31,1500,1500,1
S1,oval,div,40,4.5,35.5,1500,1500,1
S1,rect,conv,30,4.5,25.5,1500,1500,1
S1,rect,conv,30,9,21,1500,1500,1
S1,rect,conv,40,4.5,35.5,1500,1500,1
S1,rect,conv,40,9,31,1500,1500,1
S1,rect,div,30,4.5,25.5,1500,1500,1
S1,rect,div,30,9,21,1500,1500,1
S1,rect,div,40,9,31,1500,1500,1
S1,rect,div,40,4.5,35.5,1500,1500,1
S1,AR,conv,30,9,21,1500,1500,1
S1,AR,conv,30,4.5,25.5,1500,1500,1
S1,AR,conv,30,9,21,1384,1479,0.935767410412441
S1,AR,conv,30,9,21,1500,1500,1
S1,AR,conv,30,4.5,25.5,1500,1500,1
S1,AR,conv,30,4.5,25.5,1500,1500,1
S1,AR,conv,30,9,21,1500,1500,1
S1,AR,conv,30,4.5,25.5,1500,1500,1
S1,AR,conv,30,4.5,25.5,1500,1500,1
S1,AR,conv,30,9,21,1500,1500,1
S1,AR,conv,40,4.5,35.5,1500,1500,1
S1,AR,conv,40,4.5,35.5,1500,1500,1
S1,AR,conv,40,9,31,1500,1500,1
S1,AR,conv,40,4.5,35.5,1500,1500,1
S1,AR,conv,40,9,31,1500,1500,1
S1,AR,conv,40,4.5,35.5,1500,1500,1
S1,AR,conv,40,4.5,35.5,1500,1500,1
S1,AR,conv,40,9,31,1500,1500,1
S1,AR,conv,40,9,31,1309,1493,0.876758204956464
S1,AR,conv,40,9,31,1500,1500,1
S1,AR,div,30,4.5,25.5,1500,1500,1
S1,AR,div,30,4.5,25.5,1500,1500,1
S1,AR,div,30,9,21,1500,1500,1
S1,AR,div,30,9,21,1500,1500,1
S1,AR,div,30,9,21,1500,1500,1
S1,AR,div,30,4.5,25.5,1500,1500,1
S1,AR,div,30,4.5,25.5,1500,1500,1
S1,AR,div,30,4.5,25.5,1500,1500,1
S1,AR,div,30,9,21,1500,1500,1
S1,AR,div,30,9,21,1500,1500,1
